session_id,marker_index,marker_start_s,marker_end_s,marker_midpoint_s,frame_id,frame_time_s,frame_time_error_ms,detection_status,candidate_target_count,detected_x_px,detected_y_px,detected_radius_px,detected_x_normalised,detected_y_normalised,matched_target_id,target_x,target_y,normalised_match_offset,detection_confidence
2025_04_11/001,10,41.40382361412048,43.003485918045044,42.203654766082764,208,42.20376777648926,0.11301040649414062,recovered,1,283.5,917.5,13.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/001,11,44.411654472351074,46.01072096824646,45.21118772029877,223,45.21107578277588,0.1119375228881836,recovered,1,1627.5,161.5,15.5,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/001,12,47.210676431655884,48.81145119667053,48.01106381416321,237,48.010119915008545,0.9438991546630859,recovered,1,955.5,539.5,15.5,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/001,13,50.20321869850159,51.80370378494263,51.00346124172211,252,51.00280475616455,0.6564855575561523,recovered,1,628.5,711.5,17.600000381469727,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/001,14,53.210280656814575,54.8113796710968,54.01083016395569,267,54.01098847389221,0.1583099365234375,recovered,1,1262.5,355.5,15.5,0.6575520833333334,0.32916666666666666,inner_top_right,0.66,0.33,0.0025858732473555027,0.8276084501762998
2025_04_11/001,15,56.01100158691406,57.80312204360962,56.90706181526184,282,57.003228187561035,96.16637229919434,recovered,1,628.5,355.5,11.600000381469727,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/001,16,59.21108627319336,61.00197720527649,60.106531739234924,297,60.01037669181824,96.15504741668701,recovered,1,1627.5,917.5,21.600000381469727,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/001,17,62.20418334007263,64.01214385032654,63.108163595199585,312,63.00774693489075,100.41666030883789,recovered,1,283.5,161.5,21.600000381469727,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/001,18,65.21120882034302,67.00335884094238,66.1072838306427,327,66.01036310195923,96.92072868347168,recovered,1,627.5,710.5,18.799999237060547,0.3268229166666667,0.6578703703703703,inner_bottom_left,0.33,0.66,0.003824811219699761,0.7450125853533492
2025_04_11/001,19,68.2031569480896,69.61065173149109,68.90690433979034,341,68.81064248085022,96.26185894012451,recovered,1,1627.5,161.5,19.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/001,20,71.00325322151184,72.60397362709045,71.80361342430115,356,71.80231523513794,1.2981891632080078,recovered,1,283.5,161.5,15.5,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/001,21,73.80512380599976,75.40741682052612,74.60627031326294,370,74.60269713401794,3.573179244995117,recovered,1,1262.5,355.5,17.600000381469727,0.6575520833333334,0.32916666666666666,inner_top_right,0.66,0.33,0.0025858732473555027,0.8276084501762998
2025_04_11/001,22,76.6027843952179,78.20381259918213,77.40329849720001,384,77.40346598625183,0.16748905181884766,recovered,1,955.5,539.5,15.5,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/001,23,79.59531497955322,81.19504451751709,80.39517974853516,399,80.39484071731567,0.3390312194824219,recovered,1,283.5,917.5,15.5,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
