visit_label,date,subject_id,session_id,target_label,coordinate_space,paper_qc_status,paper_plot_status,target_settle_time_s,settle_excluded_valid_samples,paper_qc_valid_samples,paper_qc_excluded_samples,target_x_pct_display_width,target_y_pct_display_height,target_eccentricity_relative_coordinate_pct,paper_qc_error_x_pct_display_width,paper_qc_error_y_pct_display_height,paper_qc_omae_relative_coordinate_pct,paper_qc_precision_rms_relative_coordinate_pct,target_x_deg,target_y_deg,target_eccentricity_deg,paper_qc_error_x_deg,paper_qc_error_y_deg,paper_qc_omae_deg,paper_qc_precision_rms_deg,interval_count
Visit 1,2025_04_11,unknown,2025_04_11/007,top_left,normalised,included,included,0.6,106,154,1,15.0,15.0,49.49747468305832,3.7009480519480498,-0.9148116883116897,9.131789477304537,16.518929626633284,,,,,,,,3
Visit 1,2025_04_12,AW75,2025_04_12/025,top_right,normalised,included,included,0.6,91,170,0,85.0,15.0,49.49747468305832,-0.33822352941176304,0.8377941176470616,2.9127830256455667,2.2810404639992248,,,,,,,,3
Visit 1,2025_04_12,AW75,2025_04_12/030,top_right,normalised,included,included,0.6,76,180,0,85.0,15.0,49.49747468305832,4.869977777777779,-0.4894111111111099,6.099236046566256,2.119726929213104,,,,,,,,3
Visit 1,2025_04_12,AW75,2025_04_12/031,top_right,normalised,included,included,0.6,92,167,0,85.0,15.0,49.49747468305832,2.82016167664671,-3.9310359281437113,7.305268713926704,5.364094355298681,,,,,,,,3
Visit 1,2025_04_11,CL98,2025_04_11/000,top_right,normalised,included,included,0.6,47,10,93,85.0,15.0,49.49747468305832,5.602599999999996,11.151700000000003,12.551774380887082,2.0268264972611734,,,,,,,,3
Visit 1,2025_04_11,CL98,2025_04_11/001,top_right,normalised,insufficient_in_bounds_samples,insufficient_in_bounds_samples,0.6,15,0,12,85.0,15.0,49.49747468305832,,,,,,,,,,,,1
Visit 1,2025_04_12,CL98test,2025_04_12/001,top_right,normalised,included,included,0.6,95,118,53,85.0,15.0,49.49747468305832,3.837533898305079,6.616042372881364,7.747008642334756,1.4687442466553984,,,,,,,,3
Visit 1,2025_04_12,JH71,2025_04_12/026,top_right,normalised,included,included,0.6,85,169,0,85.0,15.0,49.49747468305832,0.43685798816567867,5.787875739644965,6.070179414291442,3.030641440971826,,,,,,,,3
Visit 1,2025_04_12,JH71,2025_04_12/028,top_right,normalised,included,included,0.6,100,162,2,85.0,15.0,49.49747468305832,2.4878271604938273,7.071246913580243,7.53940385415379,2.116205489299309,,,,,,,,3
Visit 1,2025_04_12,JH71,2025_04_12/032,top_right,normalised,included,included,0.6,93,128,0,85.0,15.0,49.49747468305832,4.099546875000004,3.267039062499999,5.48649443026267,1.9001814844006877,,,,,,,,3
Visit 1,2025_04_11,JL98,2025_04_11/005,top_right,normalised,included,included,0.6,62,86,0,85.0,15.0,49.49747468305832,-2.987197674418607,0.18302325581395773,4.6299744315627684,1.7154613994165056,,,,,,,,2
Visit 1,2025_04_11,JL98,2025_04_11/006,top_right,normalised,included,included,0.6,78,171,0,85.0,15.0,49.49747468305832,-4.0310116959064395,3.978473684210526,5.902034715698086,3.2270127471541676,,,,,,,,3
Visit 1,2025_04_11,JL98,2025_04_11/011,top_right,normalised,included,included,0.6,19,56,5,85.0,15.0,49.49747468305832,1.3265357142857148,5.351178571428572,5.737002426840477,2.025760774829233,,,,,,,,2
Visit 1,2025_04_11,LW03,2025_04_11/003,top_right,normalised,included,included,0.6,78,159,0,85.0,15.0,49.49747468305832,-1.9512201257861628,1.9910817610062914,7.22808929301284,16.37037171834296,,,,,,,,3
Visit 1,2025_04_11,LW03,2025_04_11/004,top_right,normalised,included,included,0.6,102,205,0,85.0,15.0,49.49747468305832,0.44377073170732695,1.463726829268297,7.550025274666093,1.6265899629568221,,,,,,,,3
Visit 1,2025_04_11,LW03,2025_04_11/008,top_right,normalised,included,included,0.6,92,147,8,85.0,15.0,49.49747468305832,7.322857142857142,-3.5243673469387726,11.698114206709086,8.533721235237318,,,,,,,,3
Visit 1,2025_04_12,MQ85,2025_04_12/002,top_right,normalised,included,included,0.6,94,175,0,85.0,15.0,49.49747468305832,-3.470440000000008,1.6944799999999982,4.685785147945733,4.452846729397631,,,,,,,,3
Visit 1,2025_04_12,MQ85,2025_04_12/003,top_right,normalised,included,included,0.6,28,55,0,85.0,15.0,49.49747468305832,-2.582890909090907,6.488327272727279,7.105892988936649,1.771964094929411,,,,,,,,1
