session_id,date,subject_id,device_id,test_id,test_condition,recording_start_time,trial_number,marker_index,marker_id,target_key,target_label,marker_start_s,analysis_start_s,marker_end_s,target_settle_time_s,settle_excluded_valid_samples,valid_samples,coordinate_space,paper_qc_status,paper_qc_valid_samples,paper_qc_excluded_samples,paper_qc_mean_gaze_x,paper_qc_mean_gaze_y,paper_qc_gaze_direction_x_normalised,paper_qc_gaze_direction_y_normalised,paper_qc_gaze_direction_x_deg,paper_qc_gaze_direction_y_deg,paper_qc_omae_normalised,paper_qc_precision_rms_normalised,paper_qc_omae_deg,paper_qc_precision_rms_deg,target_x,target_y,mean_gaze_x,mean_gaze_y,target_x_centered,target_y_centered,gaze_direction_x_normalised,gaze_direction_y_normalised,error_x_normalised,error_y_normalised,centroid_error_normalised,omae_normalised,precision_rms_normalised,target_eccentricity_normalised,target_x_deg,target_y_deg,gaze_direction_x_deg,gaze_direction_y_deg,error_x_deg,error_y_deg,centroid_error_deg,omae_deg,precision_rms_deg,target_eccentricity_deg
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,4,bottom_right_r1,"0.850000,0.850000",bottom_right,25.40284037590027,26.00284037590027,27.00256896018982,0.6,31,53,normalised,included,53,0,0.8753932075471698,0.7243041509433963,0.37539320754716976,-0.22430415094339629,,,0.14972213029615844,0.17297390245087577,,,0.85,0.85,0.8753932075471698,0.7243041509433963,0.35,-0.35,0.37539320754716976,-0.22430415094339629,0.025393207547169783,0.1256958490566037,0.12823518027278683,0.14972213029615844,0.17297390245087577,0.49497474683058323,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,5,inner_top_left_r1,"0.330000,0.330000",inner_top_left,28.20288109779358,28.80288109779358,29.802736282348633,0.6,15,54,normalised,included,54,0,0.3188574074074075,0.24175055555555558,-0.18114259259259252,0.2582494444444444,,,0.08901937948987716,0.017110580504239005,,,0.33,0.33,0.3188574074074075,0.24175055555555558,-0.16999999999999998,0.16999999999999998,-0.18114259259259252,0.2582494444444444,-0.011142592592592537,0.08824944444444444,0.08895010856900391,0.08901937948987716,0.017110580504239005,0.24041630560342614,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,6,inner_top_right_r1,"0.660000,0.330000",inner_top_right,31.002989053726196,31.602989053726198,32.60207200050354,0.6,25,57,normalised,included,57,0,0.6602070175438596,0.22132666666666667,0.16020701754385958,0.27867333333333333,,,0.10875776692234154,0.011480495939260992,,,0.66,0.33,0.6602070175438596,0.22132666666666667,0.16000000000000003,0.16999999999999998,0.16020701754385958,0.27867333333333333,0.00020701754385954452,0.10867333333333334,0.10867353051245388,0.10875776692234154,0.011480495939260992,0.23345235059857505,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,7,inner_bottom_left_r1,"0.330000,0.660000",inner_bottom_left,33.612828493118286,34.21282849311829,35.407153844833374,0.6,34,61,normalised,included,61,0,0.3297247540983607,0.5737437704918031,-0.17027524590163928,-0.07374377049180314,,,0.08813622658688461,0.06552621164360312,,,0.33,0.66,0.3297247540983607,0.5737437704918031,-0.16999999999999998,-0.16000000000000003,-0.17027524590163928,-0.07374377049180314,-0.0002752459016392983,0.08625622950819689,0.08625666866554206,0.08813622658688461,0.06552621164360312,0.23345235059857505,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,8,bottom_left_r1,"0.150000,0.850000",bottom_left,36.602997064590454,37.202997064590456,38.40940618515015,0.6,35,48,normalised,included,48,0,0.22175979166666668,0.7709354166666667,-0.2782402083333333,-0.27093541666666665,,,0.13551187496147424,0.09725124822352146,,,0.15,0.85,0.22175979166666668,0.7709354166666667,-0.35,-0.35,-0.2782402083333333,-0.27093541666666665,0.07175979166666668,0.07906458333333333,0.106773948310049,0.13551187496147424,0.09725124822352146,0.49497474683058323,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,9,inner_bottom_right_r2,"0.660000,0.660000",inner_bottom_right,39.611597776412964,40.211597776412965,41.403719663619995,0.6,33,51,normalised,included,51,0,0.6986596078431372,0.5940105882352941,0.1986596078431372,-0.09401058823529407,,,0.07673024958006948,0.011406475349219371,,,0.66,0.66,0.6986596078431372,0.5940105882352941,0.16000000000000003,-0.16000000000000003,0.1986596078431372,-0.09401058823529407,0.038659607843137156,0.06598941176470596,0.07647985188032902,0.07673024958006948,0.011406475349219371,0.22627416997969527,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,10,bottom_left_r2,"0.150000,0.850000",bottom_left,42.603328704833984,43.203328704833986,44.2026789188385,0.6,20,59,normalised,included,59,0,0.15086864406779663,0.786977627118644,-0.34913135593220335,-0.28697762711864405,,,0.06323819995250961,0.012962711161885663,,,0.15,0.85,0.15086864406779663,0.786977627118644,-0.35,-0.35,-0.34913135593220335,-0.28697762711864405,0.0008686440677966312,0.06302237288135593,0.06302835890385522,0.06323819995250961,0.012962711161885663,0.49497474683058323,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,11,top_right_r2,"0.850000,0.150000",top_right,45.61203479766846,46.21203479766846,47.2135591506958,0.6,17,49,normalised,included,49,0,0.8237420408163265,0.05286204081632653,0.3237420408163265,0.4471379591836735,,,0.12756139171059208,0.1049317372071138,,,0.85,0.15,0.8237420408163265,0.05286204081632653,0.35,0.35,0.3237420408163265,0.4471379591836735,-0.026257959183673463,0.09713795918367346,0.1006243684942195,0.12756139171059208,0.1049317372071138,0.49497474683058323,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,12,centre_r2,"0.500000,0.500000",centre,48.412477016448975,49.012477016448976,50.01281690597534,0.6,23,37,normalised,included,37,0,0.4974978378378379,0.3749832432432432,-0.0025021621621620915,0.12501675675675678,,,0.12509817604638576,0.022913844651178038,,,0.5,0.5,0.4974978378378379,0.3749832432432432,0.0,-0.0,-0.0025021621621620915,0.12501675675675678,-0.0025021621621620915,0.12501675675675678,0.12504179415484987,0.12509817604638576,0.022913844651178038,0.0,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,13,inner_bottom_left_r2,"0.330000,0.660000",inner_bottom_left,51.40317964553833,52.00317964553833,53.00373578071594,0.6,14,61,normalised,included,61,0,0.3483650819672131,0.6238349180327867,-0.1516349180327869,-0.12383491803278668,,,0.04084821348163163,0.007651865356185095,,,0.33,0.66,0.3483650819672131,0.6238349180327867,-0.16999999999999998,-0.16000000000000003,-0.1516349180327869,-0.12383491803278668,0.018365081967213093,0.03616508196721335,0.04056093427619384,0.04084821348163163,0.007651865356185095,0.23345235059857505,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,14,inner_top_right_r2,"0.660000,0.330000",inner_top_right,54.41077136993408,55.01077136993408,56.0111346244812,0.6,16,52,normalised,included,52,0,0.6582721153846153,0.17186326923076928,0.15827211538461528,0.3281367307692307,,,0.1612371517227919,0.0360546609628349,,,0.66,0.33,0.6582721153846153,0.17186326923076928,0.16000000000000003,0.16999999999999998,0.15827211538461528,0.3281367307692307,-0.001727884615384756,0.15813673076923074,0.1581461703729314,0.1612371517227919,0.0360546609628349,0.23345235059857505,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,15,inner_top_left_r2,"0.330000,0.330000",inner_top_left,57.21433877944946,57.814338779449464,59.00260519981384,0.6,10,67,normalised,included,67,0,0.3291976119402985,0.26642835820895516,-0.1708023880597015,0.23357164179104484,,,0.0636673529527225,0.0173416669899336,,,0.33,0.33,0.3291976119402985,0.26642835820895516,-0.16999999999999998,0.16999999999999998,-0.1708023880597015,0.23357164179104484,-0.0008023880597015087,0.06357164179104485,0.06357670537710547,0.0636673529527225,0.0173416669899336,0.24041630560342614,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,16,bottom_right_r2,"0.850000,0.850000",bottom_right,60.39646029472351,60.99646029472351,62.20324492454529,0.6,38,71,normalised,included,71,0,0.8954295774647887,0.7987622535211268,0.3954295774647887,-0.29876225352112684,,,0.06852811300378937,0.0039790456898936765,,,0.85,0.85,0.8954295774647887,0.7987622535211268,0.35,-0.35,0.3954295774647887,-0.29876225352112684,0.045429577464788706,0.051237746478873136,0.06847739169143721,0.06852811300378937,0.0039790456898936765,0.49497474683058323,,,,,,,,,,
2025_04_11/010,2025_04_11,PW78,GP3,Acc 10min,,1744352150.33839,11,17,top_left_r2,"0.150000,0.150000",top_left,63.40344595909119,64.00344595909118,65.19796228408813,0.6,32,66,normalised,included,66,0,0.13675090909090906,0.11266909090909091,-0.36324909090909097,0.38733090909090906,,,0.039791114722033026,0.01287453940977207,,,0.15,0.15,0.13675090909090906,0.11266909090909091,-0.35,0.35,-0.36324909090909097,0.38733090909090906,-0.013249090909090933,0.03733090909090908,0.03961231100896632,0.039791114722033026,0.01287453940977207,0.49497474683058323,,,,,,,,,,
