comparison_scope,date,run_id,subject_id,condition,target_id,target_x_deg,target_y_deg,gaze_x_deg,gaze_y_deg,marker_windows,visual_nearest_target_id,visual_target_error_deg,visual_qc_cutoff_deg,visual_qc_status
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,3,-10.2,5.7375,-30.0,16.875,3,1,22.7174801914737,5.857067376852974,target_mismatch
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,4,9.600000000000001,5.7375,-30.0,16.875,3,1,41.13640609302179,6.4998798415524215,target_mismatch
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,5,0.0,-0.0,-30.0,16.875,3,1,34.42042453253591,9.086495530431277,target_mismatch
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,6,-10.2,-5.400000000000001,-30.0,16.875,3,1,29.80294658251093,4.963861704206112,target_mismatch
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,7,9.600000000000001,-5.400000000000001,-30.0,16.875,3,1,45.4349603829474,6.609789983794532,target_mismatch
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,8,-21.0,-11.8125,-30.0,16.875,3,1,30.066138033508725,6.31868568380908,target_mismatch
Calib & Acc,2025_04_12,013,SY91,Calib & Acc,9,21.0,-11.8125,-30.0,16.875,3,1,58.51472170531105,7.903808475534857,target_mismatch
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,1,-21.0,11.8125,-16.280406281455672,12.616741027874562,3,1,4.7876266039698425,4.750563048246421,robust_centroid_outlier
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,2,21.0,11.8125,17.69528391774892,8.947146513798701,3,2,4.373945471216446,5.464972727119959,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,3,-10.2,5.7375,-8.720286317869773,7.381943140862283,3,3,2.2121812368367118,5.857067376852974,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,4,9.600000000000001,5.7375,8.410912033799534,5.715285322880245,3,4,1.1892954566642808,6.4998798415524215,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,5,0.0,-0.0,-2.345826609848485,3.338461896306818,3,5,4.08022429733535,9.086495530431277,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,6,-10.2,-5.400000000000001,-8.128094372294372,-9.164901785714285,3,6,4.297357139707247,4.963861704206112,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,7,9.600000000000001,-5.400000000000001,10.064121428571429,-5.039592187499999,2,7,0.5876244479003739,6.609789983794532,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,8,-21.0,-11.8125,-23.137129555555553,-9.5254495,2,8,3.1301633706213043,6.31868568380908,included
Calib & Acc,2025_04_12,015,YR00,Calib & Acc,9,21.0,-11.8125,22.327145443067568,-9.091611117313539,3,9,3.0273009990719113,7.903808475534857,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,1,-21.0,11.8125,-21.241598220492907,12.060798381637085,3,1,0.34644160614587677,4.750563048246421,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,2,21.0,11.8125,22.489941314731016,14.262868335690044,3,2,2.867791851214935,5.464972727119959,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,3,-10.2,5.7375,-11.797657231659912,7.950174065010316,3,3,2.729182139001443,5.857067376852974,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,4,9.600000000000001,5.7375,10.785467457729467,8.782915757472827,3,4,3.268010132970728,6.4998798415524215,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,5,0.0,-0.0,-0.31005501829609533,-1.2089758809569935,3,5,1.2481012759813725,9.086495530431277,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,6,-10.2,-5.400000000000001,-9.097487842879088,-6.627024576201449,3,6,1.649582482691225,4.963861704206112,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,7,9.600000000000001,-5.400000000000001,8.827018335900288,-6.019926536028279,3,7,0.990863039529875,6.609789983794532,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,8,-21.0,-11.8125,-20.55660209200737,-11.217630680073034,3,8,0.7419374721650143,6.31868568380908,included
Calib & Acc,2025_04_12,017,SS73,Calib & Acc,9,21.0,-11.8125,21.01668532590759,-11.962417139949194,3,9,0.15084279548983676,7.903808475534857,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,1,-21.0,11.8125,-21.12734548440066,12.094131202633575,3,1,0.30908414177060656,4.750563048246421,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,2,21.0,11.8125,20.908779959247273,13.939490911542611,3,2,2.128946085183887,5.464972727119959,included
Calib & Acc,2025_04_12,020,RB76,Calib & Acc,3,-10.2,5.7375,-10.409954985638345,8.546108949328868,3,3,2.8164455127420105,5.857067376852974,included
