delay_s,delay_ms,condition,balanced_accuracy_deg,balanced_repeat_spread_deg,participant_condition_target_cells,valid_marker_windows,valid_gaze_samples
0.07,70,Acc 10min,2.8002322810427986,0.585218497986445,111,313,24498
0.08,80,Acc 10min,2.8002322810427986,0.5773336071428581,111,313,24359
0.09,90,Acc 10min,2.8144259108416283,0.5588429253402476,111,313,24229
0.1,100,Acc 10min,2.827113833113419,0.5588429253402476,111,313,24088
0.11,110,Acc 10min,2.830032097422679,0.5636931818181807,111,313,23944
0.12,120,Acc 10min,2.8313072625155313,0.5687027960526301,111,313,23813
0.13,130,Acc 10min,2.8353904507301,0.5655914326265086,111,313,23667
0.14,140,Acc 10min,2.8589503005069914,0.5655914326265086,111,313,23531
0.15,150,Acc 10min,2.8589503005069914,0.5547614284268032,111,312,23381
0.16,160,Acc 10min,2.8589503005069914,0.5394302063831099,111,312,23243
0.17,170,Acc 10min,2.8589503005069914,0.5323111198170294,111,312,23106
0.18,180,Acc 10min,2.847994941979241,0.5201645674093395,111,312,22960
0.19,190,Acc 10min,2.851933730248974,0.5260075655430718,111,312,22825
0.2,200,Acc 10min,2.851933730248974,0.5217830864672189,111,312,22670
0.0,0,Acc 60min,4.308168703314372,0.5447499692043298,104,287,23184
0.01,10,Acc 60min,4.322159052150612,0.5374171080217756,104,287,23053
0.02,20,Acc 60min,4.3361013821308045,0.5425460797717201,104,287,22932
0.03,30,Acc 60min,4.3361013821308045,0.5376444884383889,104,287,22808
0.04,40,Acc 60min,4.3499846451743505,0.5451489359955108,104,287,22702
0.05,50,Acc 60min,4.34795548342307,0.5449061188034543,104,287,22567
0.06,60,Acc 60min,4.343925289317106,0.5611279541019136,104,286,22444
0.07,70,Acc 60min,4.343925289317106,0.5506388000419051,104,286,22325
0.08,80,Acc 60min,4.339702248372256,0.5626907861532398,104,286,22177
0.09,90,Acc 60min,4.339702248372256,0.5481235378908872,104,286,22064
0.1,100,Acc 60min,4.335145502414921,0.5512253484613212,104,285,21921
0.11,110,Acc 60min,4.287379283943543,0.5434215507114706,103,284,21785
0.12,120,Acc 60min,4.341350847960598,0.559782522407172,103,284,21689
0.13,130,Acc 60min,4.341350847960598,0.5753133915881911,103,284,21548
0.14,140,Acc 60min,4.348686168516042,0.559782522407172,103,283,21416
0.15,150,Acc 60min,4.342720348943722,0.5665702998991939,103,283,21297
0.16,160,Acc 60min,4.334706166328383,0.5939192162471398,103,283,21161
0.17,170,Acc 60min,4.334706166328383,0.5939192162471398,103,283,21045
0.18,180,Acc 60min,4.326051089531495,0.6180276405775071,103,283,20914
0.19,190,Acc 60min,4.319041679619962,0.6335091921264474,103,283,20791
0.2,200,Acc 60min,4.317652693348934,0.6395709677419354,103,283,20669
0.0,0,Calib & Acc,2.631796983998963,0.6131053826080733,125,359,28287
0.01,10,Calib & Acc,2.6168428277468694,0.6166739346499148,125,359,28153
0.02,20,Calib & Acc,2.523539993523468,0.6151345573095401,125,359,27989
0.03,30,Calib & Acc,2.601561126496091,0.6151345573095401,125,359,27851
0.04,40,Calib & Acc,2.6168428277468694,0.6015449001387616,125,359,27708
0.05,50,Calib & Acc,2.6168428277468694,0.6095746712657318,125,359,27535
0.06,60,Calib & Acc,2.63030577844068,0.6199934957924249,125,359,27410
0.07,70,Calib & Acc,2.643073774329739,0.6168619859978719,125,359,27256
0.08,80,Calib & Acc,2.643073774329739,0.6179391032608681,125,359,27101
0.09,90,Calib & Acc,2.655254473744028,0.6317409673543136,125,358,26972
0.1,100,Calib & Acc,2.655254473744028,0.6228836930909089,125,357,26810
0.11,110,Calib & Acc,2.6577188151510995,0.6228836930909089,125,357,26660
0.12,120,Calib & Acc,2.6464206681909554,0.6228836930909089,125,357,26527
0.13,130,Calib & Acc,2.6464206681909554,0.6218471290974403,125,357,26364
0.14,140,Calib & Acc,2.6257477546904475,0.6204731707317066,125,357,26237
0.15,150,Calib & Acc,2.601329593641205,0.6116442662389737,125,357,26089
0.16,160,Calib & Acc,2.601329593641205,0.6102256971470015,125,356,25925
0.17,170,Calib & Acc,2.5211392382941376,0.6102256971470015,125,356,25805
0.18,180,Calib & Acc,2.5211392382941376,0.604265434574625,125,356,25636
0.19,190,Calib & Acc,2.478657677647436,0.5874041988286794,125,356,25502
0.2,200,Calib & Acc,2.4745982062403593,0.6024534728302767,125,356,25339
