delay_s,delay_ms,subject_id,condition,target_id,marker_window_means,accuracy_median_target_error_deg,repeat_spread_median_radial_deg
0.0,0,JH71,Acc 10min,4,3,2.601914619252365,0.3848409624838961
0.0,0,JH71,Acc 10min,5,3,1.9410130716664151,0.2617160778985508
0.0,0,JH71,Acc 10min,6,3,1.7976419951271831,0.5863221275615942
0.0,0,JH71,Acc 10min,7,3,2.066272622286187,0.31134202806122424
0.0,0,JH71,Acc 10min,8,3,2.0229246554309452,0.4262773685756496
0.0,0,JH71,Acc 10min,9,3,0.2883161684017339,0.2568209558823522
0.0,0,JH71,Acc 60min,1,3,2.5384188594991746,0.7124970923985552
0.0,0,JH71,Acc 60min,2,3,2.192426705463187,0.6281709340783466
0.0,0,JH71,Acc 60min,3,3,0.574444939355213,0.7474644912401405
0.0,0,JH71,Acc 60min,4,3,2.883389448764184,1.3429606174698794
0.0,0,JH71,Acc 60min,5,3,1.4303497362787347,0.8601854019664549
0.0,0,JH71,Acc 60min,6,3,1.0660141129160035,0.38453312694762093
0.0,0,JH71,Acc 60min,7,3,1.3368267090786632,0.47775065351983415
0.0,0,JH71,Acc 60min,8,3,2.060760517028177,1.1660182352941177
0.0,0,JH71,Acc 60min,9,3,1.6935234962720815,0.9721730338244426
0.0,0,JH71,Calib & Acc,1,3,2.6693933886799477,0.9391696969696959
0.0,0,JH71,Calib & Acc,2,3,1.3703848640194083,0.3292126463304442
0.0,0,JH71,Calib & Acc,3,3,2.7879678284314844,0.021848367078347124
0.0,0,JH71,Calib & Acc,4,3,3.2319780242598815,0.36676393843498367
0.0,0,JH71,Calib & Acc,5,3,2.9576217219134464,0.5044579408469338
0.0,0,JH71,Calib & Acc,6,3,1.9288518225836762,0.22424036481318055
0.0,0,JH71,Calib & Acc,7,3,2.143923366178337,0.5747306315143161
